Epoch,Accuracy,Precision,Recall,F1 score,AUC score,Avg False Positive,Avg False Negative,fair value_TP,deal price_TP,discounted cash flow_TP,market efficiency_TP,stock price_TP,market multiples_TP,analyst price target_TP,multiples-based valuation_TP,abnormal return_TP,irrelevant_TP,fair value_TN,deal price_TN,discounted cash flow_TN,market efficiency_TN,stock price_TN,market multiples_TN,analyst price target_TN,multiples-based valuation_TN,abnormal return_TN,irrelevant_TN,fair value_FP,deal price_FP,discounted cash flow_FP,market efficiency_FP,stock price_FP,market multiples_FP,analyst price target_FP,multiples-based valuation_FP,abnormal return_FP,irrelevant_FP,fair value_FN,deal price_FN,discounted cash flow_FN,market efficiency_FN,stock price_FN,market multiples_FN,analyst price target_FN,multiples-based valuation_FN,abnormal return_FN,irrelevant_FN
53,0.946404569892473,0.9518943960920697,0.9464751958224543,0.945410516299015,0.590584972523025,4.1,4.1,2,5,8,6,0,1,0,0,0,703,763,745,745,754,760,760,765,765,765,31,0,12,5,0,3,1,0,1,0,19,1,4,8,6,3,4,1,0,1,13
54,0.942498319892473,0.9498383078209526,0.9425587467362925,0.9411704063311007,0.5959852470261552,4.4,4.4,2,5,9,4,0,1,0,0,0,701,763,744,742,754,760,760,765,766,765,31,0,13,8,0,3,1,0,0,0,19,1,4,7,8,3,4,1,0,1,15
55,0.9477066532258064,0.9483515279797077,0.9477806788511749,0.9440436253368215,0.5974820108131319,4.0,4.0,2,5,8,5,0,1,0,0,0,705,763,749,744,754,760,760,765,766,765,28,0,8,6,0,3,1,0,0,0,22,1,4,8,7,3,4,1,0,1,11
56,0.946404569892473,0.9499916940222239,0.9464751958224543,0.9441483799350595,0.6020358263067447,4.1,4.1,2,5,9,5,0,1,0,0,0,703,763,747,743,754,760,760,765,766,765,30,0,10,7,0,3,1,0,0,0,20,1,4,7,7,3,4,1,0,1,13
57,0.946404569892473,0.9499916940222239,0.9464751958224543,0.9441483799350595,0.6020358263067447,4.1,4.1,2,5,9,5,0,1,0,0,0,703,763,747,743,754,760,760,765,766,765,30,0,10,7,0,3,1,0,0,0,20,1,4,7,7,3,4,1,0,1,13
58,0.946404569892473,0.9499916940222239,0.9464751958224543,0.9441483799350595,0.6020358263067447,4.1,4.1,2,5,9,5,0,1,0,0,0,703,763,747,743,754,760,760,765,766,765,30,0,10,7,0,3,1,0,0,0,20,1,4,7,7,3,4,1,0,1,13
59,0.946404569892473,0.9499916940222239,0.9464751958224543,0.9441483799350595,0.6020358263067447,4.1,4.1,2,5,9,5,0,1,0,0,0,703,763,747,743,754,760,760,765,766,765,30,0,10,7,0,3,1,0,0,0,20,1,4,7,7,3,4,1,0,1,13
60,0.9451024865591396,0.950460592785927,0.9451697127937336,0.9429227674215601,0.6005439962413851,4.2,4.2,2,5,10,4,0,1,0,0,0,702,763,747,741,754,760,760,765,766,765,31,0,10,9,0,3,1,0,0,0,19,1,4,6,8,3,4,1,0,1,14
61,0.9451024865591396,0.950460592785927,0.9451697127937336,0.9429227674215601,0.6005439962413851,4.2,4.2,2,5,10,4,0,1,0,0,0,702,763,747,741,754,760,760,765,766,765,31,0,10,9,0,3,1,0,0,0,19,1,4,6,8,3,4,1,0,1,14
62,0.9438004032258064,0.9486862109935033,0.943864229765013,0.940508386078509,0.5899405882115065,4.3,4.3,2,5,9,3,0,1,0,0,0,703,763,747,741,754,760,760,765,766,765,30,0,10,9,0,3,1,0,0,0,20,1,4,7,9,3,4,1,0,1,13
63,0.946404569892473,0.9496160162202584,0.9464751958224543,0.9432869145208796,0.595989194003449,4.1,4.1,2,5,9,4,0,1,0,0,0,704,763,748,742,754,760,760,765,766,765,30,0,9,8,0,3,1,0,0,0,20,1,4,7,8,3,4,1,0,1,12
64,0.9490507392473119,0.9498273422376733,0.9490861618798956,0.9448204207995331,0.5959930349057281,3.9,3.9,2,5,9,4,0,1,0,0,0,706,763,750,743,754,760,760,765,766,765,29,0,7,7,0,3,1,0,0,0,21,1,4,7,8,3,4,1,0,1,10
65,0.9464465725806451,0.9496516316078965,0.9464751958224543,0.9423834143687798,0.5899434423694621,4.1,4.1,2,5,9,3,0,1,0,0,0,705,763,748,742,754,760,760,765,766,765,30,0,9,8,0,3,1,0,0,0,20,1,4,7,9,3,4,1,0,1,11
66,0.9477486559139785,0.950342769681925,0.9477806788511749,0.9443060348292592,0.5959910614170811,4.0,4.0,2,5,9,4,0,1,0,0,0,705,763,748,743,754,760,760,765,766,765,30,0,9,7,0,3,1,0,0,0,20,1,4,7,8,3,4,1,0,1,11
67,0.9477486559139785,0.950342769681925,0.9477806788511749,0.9443060348292592,0.5959910614170811,4.0,4.0,2,5,9,4,0,1,0,0,0,705,763,748,743,754,760,760,765,766,765,30,0,9,7,0,3,1,0,0,0,20,1,4,7,8,3,4,1,0,1,11
68,0.9398941532258064,0.9498614527335153,0.9399477806788512,0.940413118691388,0.6065830528151375,4.6,4.6,2,5,10,5,0,1,0,0,0,697,763,744,739,754,760,760,765,766,765,32,0,13,11,0,3,1,0,0,0,18,1,4,6,7,3,4,1,0,1,19
69,0.9451024865591396,0.9527621272502405,0.9451697127937336,0.9442249136382141,0.6226459089555375,4.2,4.2,2,7,10,5,0,1,0,0,0,699,763,745,740,754,761,760,765,766,765,33,0,12,10,0,2,1,0,0,0,17,1,2,6,7,3,4,1,0,1,17
70,0.9490087365591396,0.9524900190142815,0.9490861618798956,0.947995551567156,0.6286914149765607,3.9,3.9,2,7,10,6,0,1,0,0,0,701,763,747,741,751,761,760,765,766,765,36,0,10,9,3,2,1,0,0,0,14,1,2,6,6,3,4,1,0,1,15
71,0.9542590725806451,0.9515518977963986,0.9543080939947781,0.9491668654212967,0.5754007003493724,3.5,3.5,1,6,9,5,0,1,0,0,0,709,763,752,746,753,761,760,765,765,765,29,0,5,4,1,2,1,0,1,0,21,2,3,7,7,3,4,1,0,1,7
72,0.946404569892473,0.951127848901928,0.9464751958224543,0.9447434687812173,0.5932669570862079,4.1,4.1,2,5,10,5,0,1,0,0,0,702,763,754,738,754,759,760,765,765,765,30,0,3,12,0,4,1,0,1,0,20,1,4,6,7,3,4,1,0,1,14
73,0.9241851478494624,0.9524564871375655,0.9242819843342036,0.933298638657097,0.6554389241661623,5.8,5.8,2,5,11,6,1,2,0,0,0,681,763,748,722,754,759,757,765,766,765,37,0,9,28,0,4,4,0,0,0,13,1,4,5,6,2,3,1,0,1,35
74,0.9451024865591396,0.9527811739815312,0.9451697127937336,0.9457607771748862,0.6363980624103449,4.2,4.2,2,5,9,6,2,1,0,0,0,699,762,750,740,754,758,759,765,765,765,34,1,7,10,0,5,2,0,1,0,16,1,4,7,6,1,4,1,0,1,17
75,0.9451024865591396,0.9442640248101847,0.9451697127937336,0.938773137960863,0.5586007407341317,4.2,4.2,1,2,10,5,0,1,0,0,0,705,763,756,738,754,761,760,765,766,765,24,0,1,12,0,2,1,0,0,0,26,2,7,6,7,3,4,1,0,1,11
76,0.9556031586021506,0.9532193033871513,0.9556135770234987,0.9498721774430661,0.5782827878934703,3.4,3.4,2,4,8,5,0,1,0,0,0,712,761,755,750,752,760,760,765,765,765,27,2,2,0,2,3,1,0,1,0,23,1,5,8,7,3,4,1,0,1,4
77,0.9529149865591396,0.9477160433900661,0.9530026109660574,0.9477063571715473,0.6000591117747662,3.6,3.6,2,4,9,6,0,1,0,0,0,708,762,754,744,753,761,760,765,766,765,28,1,3,6,1,2,1,0,0,0,22,1,5,7,6,3,4,1,0,1,8
78,0.9556031586021506,0.9496776105226719,0.9556135770234987,0.947699310469681,0.581433025428893,3.4,3.4,2,3,8,5,0,1,0,0,0,713,762,757,747,752,761,760,765,766,765,25,1,0,3,2,2,1,0,0,0,25,1,6,8,7,3,4,1,0,1,3
79,0.950310819892473,0.9538935805769665,0.9503916449086162,0.9488889367975821,0.640013193038263,3.8,3.8,2,6,9,6,1,1,0,0,0,703,762,752,740,754,759,760,765,766,765,33,1,5,10,0,4,1,0,0,0,17,1,3,7,6,2,4,1,0,1,13
80,0.9595094086021506,0.9567965746781351,0.9595300261096605,0.9536739060787812,0.6224793588480438,3.1,3.1,2,4,10,5,1,1,0,0,0,712,763,756,745,754,761,760,765,766,765,28,0,1,5,0,2,1,0,0,0,22,1,5,6,7,2,4,1,0,1,4
